Nodes,Protocol,Run,Throughput,PDR,Detection_Time,Delay
40,pgh,1,1.0957,49.69,10.1000,0.050972
50,pgh,1,0.9896,40.41,10.1000,0.066331
60,pgh,1,0.8695,33.54,10.1000,0.135345
40,gpsr,1,0.6720,30.47,N/A,0.065010
50,gpsr,1,0.7920,32.34,N/A,0.062113
60,gpsr,1,0.6104,23.54,N/A,0.077909
40,cbrp,1,0.6258,28.52,N/A,0.066283
50,cbrp,1,0.7999,32.80,N/A,0.075637
60,cbrp,1,0.5376,20.94,N/A,0.088860
40,cr-ed,1,0.6149,30.27,N/A,0.070461
50,cr-ed,1,0.8619,40.37,N/A,0.079707
60,cr-ed,1,0.4592,20.64,N/A,0.133061
40,aodv,1,0.5764,26.14,N/A,0.116692
50,aodv,1,0.6623,27.04,N/A,0.168766
60,aodv,1,0.3125,12.05,N/A,0.266786
40,olsr,1,0.6316,31.22,N/A,0.070965
50,olsr,1,0.8687,40.80,N/A,0.081009
60,olsr,1,0.4544,20.50,N/A,0.131071
10,gpsr,4,0.3894,35.08,N/A,0.056727
10,cbrp,2,0.3912,35.24,N/A,0.075885
10,gpsr,1,0.5016,45.19,N/A,0.019659
10,cbrp,3,0.2793,25.42,N/A,0.047148
10,cbrp,4,0.4204,37.87,N/A,0.045753
10,cbrp,1,0.4469,40.67,N/A,0.040773
10,gpsr,2,0.4161,37.49,N/A,0.025434
10,gpsr,3,0.2624,23.63,N/A,0.052068
10,gpsr,5,0.4392,39.56,N/A,0.070680
10,cbrp,5,0.4247,38.26,N/A,0.074320
10,cr-ed,1,0.5644,56.76,N/A,0.048046
10,pgh,4,0.9682,87.22,15.1000,0.003263
10,cr-ed,2,0.5694,56.97,N/A,0.046974
10,pgh,1,0.7347,66.18,23.1000,0.009087
10,pgh,2,1.0586,95.37,15.1000,0.005562
10,cr-ed,3,0.6018,64.59,N/A,0.029780
10,cr-ed,4,0.4621,49.59,N/A,0.024213
10,aodv,2,0.5883,53.00,N/A,0.048158
10,aodv,4,0.4796,43.20,N/A,0.045072
10,cr-ed,5,0.4667,48.05,N/A,0.023690
10,olsr,1,0.5708,57.41,N/A,0.048463
10,aodv,3,0.7464,67.24,N/A,0.014911
10,aodv,5,0.5353,48.22,N/A,0.080110
10,aodv,1,0.9052,81.55,N/A,0.019993
10,olsr,2,0.5750,57.53,N/A,0.052073
10,olsr,3,0.6036,64.79,N/A,0.029748
10,olsr,4,0.4622,49.93,N/A,0.024379
10,olsr,5,0.4690,48.29,N/A,0.022635
11,gpsr,2,0.3794,34.42,N/A,0.024775
11,gpsr,3,0.4538,41.18,N/A,0.019160
11,gpsr,1,0.5148,46.71,N/A,0.021253
11,gpsr,4,0.4828,43.81,N/A,0.026500
11,gpsr,5,0.5461,49.55,N/A,0.046831
11,cbrp,1,0.5417,49.15,N/A,0.022722
11,pgh,5,1.0298,93.44,15.1000,0.002595
11,cbrp,4,0.4959,45.45,N/A,0.032757
11,cbrp,5,0.5311,48.19,N/A,0.050910
11,cbrp,2,0.4888,44.35,N/A,0.031502
11,pgh,3,0.6099,55.34,18.1000,0.048698
11,cr-ed,4,0.4792,53.15,N/A,0.039358
11,cr-ed,2,0.6305,63.04,N/A,0.080743
10,pgh,3,0.6351,57.22,16.1000,0.138695
11,cr-ed,3,0.7223,73.99,N/A,0.024564
11,cr-ed,5,0.6061,66.21,N/A,0.026843
11,cr-ed,1,0.6574,61.05,N/A,0.029277
10,pgh,5,0.2813,25.34,15.1000,0.162788
11,aodv,2,0.7261,65.88,N/A,0.019775
11,aodv,4,0.5702,51.73,N/A,0.036046
