Nodes,Protocol,Throughput_Mean,Throughput_Std,PDR_Mean,PDR_Std,Detection_Time_Mean,Detection_Time_Std
10,pgh,1.0156,0.0000,45.74,0.00,N/A,N/A
20,pgh,1.4448,0.0000,48.96,0.00,N/A,N/A
30,pgh,1.5504,0.0000,37.82,0.00,N/A,N/A
40,pgh,0.8372,0.0000,14.35,0.00,N/A,N/A
50,pgh,1.2201,0.0000,19.67,0.00,N/A,N/A
10,gpsr,0.6589,0.0000,59.35,0.00,N/A,N/A
20,gpsr,0.8090,0.0000,63.04,0.00,N/A,N/A
30,gpsr,0.5446,0.0000,30.97,0.00,N/A,N/A
40,gpsr,0.9701,0.0000,43.53,0.00,N/A,N/A
50,gpsr,1.1399,0.0000,45.92,0.00,N/A,N/A
10,cbrp,0.6931,0.0000,62.76,0.00,N/A,N/A
20,cbrp,0.8307,0.0000,64.74,0.00,N/A,N/A
30,cbrp,0.7127,0.0000,40.64,0.00,N/A,N/A
40,cbrp,1.1506,0.0000,51.62,0.00,N/A,N/A
50,cbrp,0.7178,0.0000,29.11,0.00,N/A,N/A
10,cr-ed,0.9357,0.0000,84.29,0.00,N/A,N/A
20,cr-ed,1.1697,0.0000,92.82,0.00,N/A,N/A
30,cr-ed,1.1801,0.0000,71.88,0.00,N/A,N/A
40,cr-ed,1.3764,0.0000,63.09,0.00,N/A,N/A
50,cr-ed,0.9004,0.0000,38.81,0.00,N/A,N/A
10,aodv,1.0890,0.0000,98.10,0.00,N/A,N/A
20,aodv,1.1623,0.0000,90.57,0.00,N/A,N/A
30,aodv,1.1936,0.0000,67.88,0.00,N/A,N/A
40,aodv,1.0918,0.0000,48.98,0.00,N/A,N/A
50,aodv,0.5865,0.0000,23.63,0.00,N/A,N/A
10,olsr,0.9357,0.0000,84.29,0.00,N/A,N/A
20,olsr,1.1697,0.0000,92.82,0.00,N/A,N/A
30,olsr,1.1801,0.0000,71.88,0.00,N/A,N/A
40,olsr,1.3764,0.0000,63.09,0.00,N/A,N/A
50,olsr,0.9004,0.0000,38.81,0.00,N/A,N/A
