Nodes,Protocol,Throughput_Mean,Throughput_Std,PDR_Mean,PDR_Std,Detection_Time_Mean,Detection_Time_Std
40,pgh,1.0957,0.0000,49.69,0.00,10.1000,0.0000
50,pgh,0.9896,0.0000,40.41,0.00,10.1000,0.0000
60,pgh,0.8695,0.0000,33.54,0.00,10.1000,0.0000
40,gpsr,0.6720,0.0000,30.47,0.00,N/A,N/A
50,gpsr,0.7920,0.0000,32.34,0.00,N/A,N/A
60,gpsr,0.6104,0.0000,23.54,0.00,N/A,N/A
40,cbrp,0.6258,0.0000,28.52,0.00,N/A,N/A
50,cbrp,0.7999,0.0000,32.80,0.00,N/A,N/A
60,cbrp,0.5376,0.0000,20.94,0.00,N/A,N/A
40,cr-ed,0.6149,0.0000,30.27,0.00,N/A,N/A
50,cr-ed,0.8619,0.0000,40.37,0.00,N/A,N/A
60,cr-ed,0.4592,0.0000,20.64,0.00,N/A,N/A
40,aodv,0.5764,0.0000,26.14,0.00,N/A,N/A
50,aodv,0.6623,0.0000,27.04,0.00,N/A,N/A
60,aodv,0.3125,0.0000,12.05,0.00,N/A,N/A
40,olsr,0.6316,0.0000,31.22,0.00,N/A,N/A
50,olsr,0.8687,0.0000,40.80,0.00,N/A,N/A
60,olsr,0.4544,0.0000,20.50,0.00,N/A,N/A
